Puertas,Con cámara de retroceso,Kilómetros,Precio_usd,Marca_Alfa Romeo,Marca_Audi,Marca_BAIC,Marca_BMW,Marca_Chery,Marca_Chevrolet,Marca_Citroën,Marca_DS,Marca_Daihatsu,Marca_Dodge,Marca_Fiat,Marca_Ford,Marca_GWM,Marca_Haval,Marca_Honda,Marca_Hyundai,Marca_Isuzu,Marca_JAC,Marca_Jaguar,Marca_Jeep,Marca_Jetour,Marca_Jetur,Marca_KAIYI,Marca_Kia,Marca_LandRover,Marca_Lexus,Marca_Lifan,Marca_Mercedes-Benz,Marca_Mini,Marca_Mitsubishi,Marca_Nissan,Marca_Peugeot,Marca_Porsche,Marca_Renault,Marca_SsangYong,Marca_Subaru,Marca_Suzuki,Marca_Toyota,Marca_Volkswagen,Marca_Volvo,Traccion_2WD,Traccion_4M,Traccion_4x2,Traccion_4x4,Traccion_AWD,Traccion_Desconocida,Traccion_FWD,Color_Blanco,Color_Color,Color_Desconocido,Color_Gris,Color_Negro,Cilindrada,Combustible_Diésel,Combustible_Eléctrico,Combustible_GNC,Combustible_Híbrido/Nafta,Combustible_Mild Hybrid,Combustible_Nafta,Combustible_Nafta/GNC,Transmision_Automática,Transmision_Automática secuencial,Transmision_Manual,Transmision_Semiautomática,Vendedor_concesionaria,Vendedor_particular,Vendedor_tienda,Modelo,antiguedad,score_estado_auto,estado_relativamente_nuevo,estado_usable,estado_viejo,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
5.0,0,67200,27639.48497854077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,18,8.0,0.36703877914633265,0,1,0,True,False,False,False,False,False,False,False
5.0,1,13600,31845.49356223176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,18,1.0,0.5973007192896114,1,0,0,False,False,False,False,False,False,False,True
5.0,1,103000,22317.596566523604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.8,0,0,0,0,0,1,0,1,0,0,0,0,1,0,19,8.0,0.3500386940509966,0,1,0,True,False,False,False,False,False,False,False
5.0,1,151700,19570.81545064378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,16,11.0,0.2631974977142188,0,0,1,False,False,False,False,True,False,False,False
5.0,0,140000,12446.351931330471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,20,10.0,0.290202098287116,0,1,0,False,False,False,False,False,True,False,False
5.0,1,80000,23000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,21,4.0,0.45533628664010306,1,0,0,False,False,False,True,False,False,False,False
5.0,1,102000,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,8.0,0.3504270653549482,0,1,0,True,False,False,False,False,False,False,False
5.0,0,120000,11072.961373390555,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,12.0,0.24871945377701993,0,0,1,False,False,False,False,True,False,False,False
5.0,1,0,34248.92703862661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10,0.0,1.0,1,0,0,False,True,False,False,False,False,False,False
5.0,0,200000,9442.06008583691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,22,18.0,0.08552743012151875,0,0,1,False,False,True,False,False,False,False,False
